badge_id,name,issuer,description,criteria,alignment,employmentOutcome,skillsValidated,competency,learningOpportunity,related_badges
B05122,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'UI/UX']","['Cloud Computing', 'Python']",Cloud Computing Course,['B06019']
B05123,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['Data Analysis'],"['Creativity', 'Python', 'DevOps']",Data Science Bootcamp,[]
B05124,AI Specialist,Coursera,AI Specialist badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['DevOps', 'Deep Learning', 'SQL']",['Problem Solving'],Intro to Machine Learning,[]
B05125,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Cybersecurity', 'Python']","['Cybersecurity', 'Deep Learning']",AI Professional Course,[]
B05126,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Cybersecurity']","['DevOps', 'Cybersecurity']",Cloud Computing Course,"['B08125', 'B08075']"
B05127,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'UI/UX', 'Machine Learning']","['Leadership', 'Problem Solving', 'Analytical Skills']",Intro to Machine Learning,"['B04563', 'B09876']"
B05128,AI Specialist,IBM,AI Specialist badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['DevOps', 'Python', 'Deep Learning']",['Data Analysis'],AI Professional Course,[]
B05129,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'Cybersecurity']",['Cloud Computing'],Big Data Analysis Program,[]
B05130,Cloud Computing Guru,edX,Cloud Computing Guru badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'Cybersecurity']","['Machine Learning', 'Teamwork']",Intro to Machine Learning,"['B00698', 'B00916']"
B05131,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['UI/UX', 'Python', 'DevOps']","['SQL', 'Data Analysis']",AI Professional Course,"['B07635', 'B04502']"
B05132,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'Cybersecurity']","['Machine Learning', 'DevOps', 'Teamwork']",Cloud Computing Course,[]
B05133,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['UI/UX', 'Deep Learning']",['Problem Solving'],Intro to Machine Learning,"['B06958', 'B03727']"
B05134,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Cybersecurity']",['SQL'],Intro to Machine Learning,"['B03712', 'B02412']"
B05135,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,['Cloud Computing'],['Creativity'],Big Data Analysis Program,"['B09475', 'B09017']"
B05136,AI Specialist,IBM,AI Specialist badge issued by IBM,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Cloud Architect positions,['Deep Learning'],"['Python', 'Creativity', 'Problem Solving']",Intro to Machine Learning,[]
B05137,Deep Learning Master,Coursera,Deep Learning Master badge issued by Coursera,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Cloud Architect positions,"['Python', 'Cybersecurity', 'Data Analysis']","['Deep Learning', 'Problem Solving']",Cloud Computing Course,"['B07029', 'B00539']"
B05138,Machine Learning Pro,Udacity,Machine Learning Pro badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'Data Analysis', 'DevOps']","['Data Analysis', 'UI/UX', 'Python']",Intro to Machine Learning,[]
B05139,Python Certification,edX,Python Certification badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Cloud Architect positions,['SQL'],"['Teamwork', 'Analytical Skills', 'Cloud Computing']",AI Professional Course,[]
B05140,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Deep Learning', 'DevOps']",['Leadership'],Data Science Bootcamp,"['B02050', 'B01359']"
B05141,Machine Learning Pro,IBM,Machine Learning Pro badge issued by IBM,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Deep Learning', 'Cloud Computing']","['Deep Learning', 'Creativity', 'Problem Solving']",Cloud Computing Course,['B05860']
B05142,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,['UI/UX'],"['Leadership', 'Analytical Skills', 'DevOps']",Intro to Machine Learning,"['B02021', 'B09056']"
B05143,AI Specialist,edX,AI Specialist badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Cybersecurity']",['DevOps'],Intro to Machine Learning,"['B01863', 'B00296']"
B05144,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'Cloud Computing', 'Machine Learning']","['Machine Learning', 'Problem Solving']",Data Science Bootcamp,['B03091']
B05145,UI/UX Designer,Google,UI/UX Designer badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'Cybersecurity']",['Teamwork'],AI Professional Course,[]
B05146,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,"['SQL', 'Deep Learning', 'Cybersecurity']","['Teamwork', 'SQL', 'Analytical Skills']",AI Professional Course,"['B08341', 'B09806']"
B05147,Machine Learning Pro,edX,Machine Learning Pro badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['UI/UX', 'Deep Learning', 'Cybersecurity']","['Python', 'Cloud Computing', 'DevOps']",Intro to Machine Learning,[]
B05148,AI Specialist,IBM,AI Specialist badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['Python', 'DevOps', 'Cybersecurity']",['Analytical Skills'],AI Professional Course,[]
B05149,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,['Deep Learning'],"['UI/UX', 'Python', 'Leadership']",Big Data Analysis Program,[]
B05150,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,['DevOps'],['Deep Learning'],Data Science Bootcamp,['B08493']
B05151,Python Certification,Udacity,Python Certification badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['Deep Learning'],"['Python', 'Leadership', 'Cybersecurity']",Cloud Computing Course,"['B01359', 'B04188']"
B05152,AI Specialist,Google,AI Specialist badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Machine Learning', 'Cybersecurity']","['UI/UX', 'Cybersecurity']",Data Science Bootcamp,"['B07844', 'B00774']"
B05153,AI Specialist,Google,AI Specialist badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['SQL', 'Cybersecurity']","['Problem Solving', 'SQL']",Big Data Analysis Program,[]
B05154,Machine Learning Pro,IBM,Machine Learning Pro badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'Machine Learning', 'DevOps']","['Cloud Computing', 'DevOps', 'Machine Learning']",Big Data Analysis Program,"['B00058', 'B04348']"
B05155,Python Certification,Coursera,Python Certification badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['UI/UX', 'Cloud Computing', 'Machine Learning']",['UI/UX'],Cloud Computing Course,['B05756']
B05156,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'SQL', 'Python']","['Deep Learning', 'Cloud Computing']",AI Professional Course,['B00663']
B05157,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Python', 'Data Analysis']",['Cloud Computing'],Big Data Analysis Program,['B09817']
B05158,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'Cybersecurity']","['Cloud Computing', 'Cybersecurity']",AI Professional Course,[]
B05159,Big Data Analyst,IBM,Big Data Analyst badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,['Data Analysis'],['Analytical Skills'],Intro to Machine Learning,[]
B05160,AI Specialist,Google,AI Specialist badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'Deep Learning']","['UI/UX', 'Analytical Skills']",Big Data Analysis Program,[]
B05161,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Cloud Architect positions,"['UI/UX', 'Cybersecurity']","['Problem Solving', 'UI/UX', 'SQL']",Intro to Machine Learning,[]
B05162,Data Science Expert,Coursera,Data Science Expert badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['Cybersecurity'],['SQL'],Big Data Analysis Program,['B08171']
B05163,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['DevOps', 'Data Analysis']",['Cybersecurity'],AI Professional Course,"['B05275', 'B00063']"
B05164,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,['Python'],"['DevOps', 'Cybersecurity']",Data Science Bootcamp,['B02133']
B05165,Deep Learning Master,Coursera,Deep Learning Master badge issued by Coursera,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Data Analyst roles,['Cybersecurity'],"['Cloud Computing', 'Machine Learning']",Intro to Machine Learning,['B06840']
B05166,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,['SQL'],"['Data Analysis', 'DevOps']",Data Science Bootcamp,['B06729']
B05167,AI Specialist,Udacity,AI Specialist badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['UI/UX', 'DevOps']","['Creativity', 'Cybersecurity']",AI Professional Course,"['B08245', 'B05855']"
B05168,Python Certification,edX,Python Certification badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Machine Learning', 'DevOps']",['Problem Solving'],AI Professional Course,"['B02845', 'B03880']"
B05169,Big Data Analyst,Coursera,Big Data Analyst badge issued by Coursera,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Python', 'Deep Learning']",['Machine Learning'],Cloud Computing Course,[]
B05170,Machine Learning Pro,edX,Machine Learning Pro badge issued by edX,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,['Python'],['Cybersecurity'],Cloud Computing Course,"['B06418', 'B07034']"
B05171,UI/UX Designer,Google,UI/UX Designer badge issued by Google,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'Cybersecurity', 'UI/UX']",['Machine Learning'],Intro to Machine Learning,"['B05368', 'B09327']"
B05172,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'Python']",['Analytical Skills'],Cloud Computing Course,"['B07725', 'B00470']"
B05173,AI Specialist,Google,AI Specialist badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'Python']","['DevOps', 'UI/UX']",AI Professional Course,['B09246']
B05174,Deep Learning Master,Coursera,Deep Learning Master badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'Machine Learning']","['Cybersecurity', 'Leadership', 'Deep Learning']",Big Data Analysis Program,[]
B05175,Python Certification,edX,Python Certification badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['SQL', 'Python', 'UI/UX']","['SQL', 'Cloud Computing']",AI Professional Course,"['B01964', 'B01534']"
B05176,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Python', 'SQL', 'DevOps']","['Leadership', 'UI/UX', 'Teamwork']",Big Data Analysis Program,[]
B05177,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,['Data Analysis'],['Python'],Data Science Bootcamp,"['B01925', 'B09377']"
B05178,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['Data Analysis', 'Deep Learning']","['Cybersecurity', 'Data Analysis']",AI Professional Course,['B06704']
B05179,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'Machine Learning', 'UI/UX']",['UI/UX'],Data Science Bootcamp,[]
B05180,Cybersecurity Professional,Udacity,Cybersecurity Professional badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,['DevOps'],['Creativity'],Intro to Machine Learning,[]
B05181,Deep Learning Master,Google,Deep Learning Master badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Data Analysis', 'Machine Learning']",['Creativity'],Data Science Bootcamp,['B00558']
B05182,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'DevOps', 'Machine Learning']",['Teamwork'],AI Professional Course,['B05067']
B05183,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,['Cloud Computing'],['Deep Learning'],Data Science Bootcamp,['B07915']
B05184,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Python', 'Data Analysis']",['Cybersecurity'],Big Data Analysis Program,"['B00108', 'B01409']"
B05185,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Data Analysis', 'Cloud Computing']","['Data Analysis', 'Creativity', 'Cybersecurity']",Data Science Bootcamp,['B08932']
B05186,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['SQL', 'Machine Learning', 'Deep Learning']","['SQL', 'UI/UX', 'Problem Solving']",Intro to Machine Learning,[]
B05187,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,['DevOps'],"['Leadership', 'Problem Solving', 'Analytical Skills']",AI Professional Course,[]
B05188,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,['Python'],"['Leadership', 'Cloud Computing', 'Problem Solving']",Cloud Computing Course,['B00191']
B05189,Big Data Analyst,Udacity,Big Data Analyst badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'Python', 'Cybersecurity']","['Python', 'Deep Learning', 'UI/UX']",AI Professional Course,"['B07749', 'B01927']"
B05190,Python Certification,Coursera,Python Certification badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Python', 'DevOps', 'UI/UX']",['Analytical Skills'],Big Data Analysis Program,"['B01749', 'B02093']"
B05191,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,['UI/UX'],['Data Analysis'],Data Science Bootcamp,"['B03880', 'B04904']"
B05192,Deep Learning Master,Coursera,Deep Learning Master badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'SQL', 'UI/UX']",['Creativity'],Cloud Computing Course,['B03053']
B05193,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Passing all module assessments,Academic Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing']","['SQL', 'Cloud Computing', 'UI/UX']",Intro to Machine Learning,"['B08107', 'B02231']"
B05194,Big Data Analyst,Udacity,Big Data Analyst badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL']","['Analytical Skills', 'Creativity', 'SQL']",Big Data Analysis Program,"['B06786', 'B09709']"
B05195,Data Science Expert,Google,Data Science Expert badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'DevOps', 'Machine Learning']",['SQL'],Intro to Machine Learning,"['B01636', 'B09146']"
B05196,AI Specialist,Udacity,AI Specialist badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Cloud Computing']","['DevOps', 'Problem Solving', 'Creativity']",Big Data Analysis Program,"['B07030', 'B02189']"
B05197,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Data Analysis', 'Deep Learning']","['Python', 'Data Analysis']",Data Science Bootcamp,['B05346']
B05198,Python Certification,edX,Python Certification badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'SQL']",['DevOps'],Data Science Bootcamp,['B04937']
B05199,Cloud Computing Guru,edX,Cloud Computing Guru badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'Machine Learning', 'UI/UX']","['Deep Learning', 'Analytical Skills']",AI Professional Course,['B09859']
B05200,Machine Learning Pro,Udacity,Machine Learning Pro badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,['Cybersecurity'],"['Machine Learning', 'Python']",Cloud Computing Course,[]
B05201,Python Certification,Coursera,Python Certification badge issued by Coursera,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,['DevOps'],"['SQL', 'DevOps', 'Analytical Skills']",AI Professional Course,[]
B05202,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'Cloud Computing', 'DevOps']",['Analytical Skills'],Cloud Computing Course,['B09007']
B05203,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Cybersecurity', 'Data Analysis']","['Leadership', 'Problem Solving', 'Cloud Computing']",Intro to Machine Learning,[]
B05204,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,['DevOps'],['SQL'],Big Data Analysis Program,['B09107']
B05205,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['UI/UX', 'Cloud Computing', 'Data Analysis']",['Problem Solving'],Intro to Machine Learning,[]
B05206,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Cloud Architect positions,['Data Analysis'],"['Data Analysis', 'Deep Learning', 'Python']",Intro to Machine Learning,['B07708']
B05207,Cybersecurity Professional,Udacity,Cybersecurity Professional badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'DevOps']","['Analytical Skills', 'SQL']",Intro to Machine Learning,['B02912']
B05208,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,['SQL'],"['Machine Learning', 'Cloud Computing', 'Cybersecurity']",Data Science Bootcamp,[]
B05209,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['UI/UX', 'Cybersecurity', 'Deep Learning']","['Analytical Skills', 'Cybersecurity', 'Leadership']",AI Professional Course,"['B06701', 'B09315']"
B05210,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'Deep Learning', 'Cloud Computing']","['DevOps', 'Teamwork']",Intro to Machine Learning,"['B04129', 'B00703']"
B05211,AI Specialist,edX,AI Specialist badge issued by edX,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['Cloud Computing', 'Cybersecurity']","['Cloud Computing', 'DevOps']",Big Data Analysis Program,[]
B05212,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Cybersecurity', 'UI/UX']",['Cybersecurity'],Data Science Bootcamp,"['B08192', 'B00817']"
B05213,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['SQL', 'Machine Learning']","['Leadership', 'Analytical Skills', 'Python']",Data Science Bootcamp,['B06543']
B05214,Big Data Analyst,Udacity,Big Data Analyst badge issued by Udacity,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Cloud Architect positions,"['UI/UX', 'Python']","['Problem Solving', 'Analytical Skills', 'Cloud Computing']",Big Data Analysis Program,[]
B05215,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Cybersecurity']",['UI/UX'],Data Science Bootcamp,[]
B05216,Cloud Computing Guru,Google,Cloud Computing Guru badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,['Cloud Computing'],['Problem Solving'],Intro to Machine Learning,['B07780']
B05217,Python Certification,Coursera,Python Certification badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,['Cybersecurity'],['SQL'],Cloud Computing Course,['B06360']
B05218,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Cybersecurity']","['Teamwork', 'Data Analysis']",AI Professional Course,[]
B05219,AI Specialist,Coursera,AI Specialist badge issued by Coursera,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,"['SQL', 'Python', 'Data Analysis']",['Leadership'],Intro to Machine Learning,"['B00375', 'B07117']"
B05220,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['DevOps', 'Python', 'UI/UX']","['Problem Solving', 'Creativity', 'UI/UX']",Big Data Analysis Program,['B09333']
B05221,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,['Data Analysis'],"['Cybersecurity', 'Analytical Skills', 'Problem Solving']",Cloud Computing Course,"['B04314', 'B02773']"
B05222,Big Data Analyst,IBM,Big Data Analyst badge issued by IBM,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,['UI/UX'],['Leadership'],AI Professional Course,[]
B05223,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'UI/UX', 'Cybersecurity']",['Teamwork'],Big Data Analysis Program,[]
B05224,Cloud Computing Guru,Coursera,Cloud Computing Guru badge issued by Coursera,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,['Deep Learning'],"['Machine Learning', 'UI/UX']",Intro to Machine Learning,['B05308']
B05225,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Cybersecurity']","['Deep Learning', 'SQL']",Big Data Analysis Program,"['B02495', 'B02020']"
B05226,AI Specialist,Udacity,AI Specialist badge issued by Udacity,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,"['SQL', 'Cloud Computing', 'DevOps']","['Cloud Computing', 'SQL', 'Machine Learning']",Intro to Machine Learning,[]
B05227,Machine Learning Pro,Google,Machine Learning Pro badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['SQL'],"['UI/UX', 'Teamwork']",AI Professional Course,[]
B05228,Python Certification,Google,Python Certification badge issued by Google,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'Python']","['DevOps', 'Deep Learning', 'Machine Learning']",Data Science Bootcamp,[]
B05229,Python Certification,Udacity,Python Certification badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,['DevOps'],"['Problem Solving', 'Creativity', 'DevOps']",Intro to Machine Learning,"['B03188', 'B02503']"
B05230,DevOps Engineer,Coursera,DevOps Engineer badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Python', 'Cloud Computing']","['Deep Learning', 'DevOps']",AI Professional Course,[]
B05231,Machine Learning Pro,edX,Machine Learning Pro badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'Cloud Computing', 'UI/UX']","['Machine Learning', 'UI/UX', 'DevOps']",Intro to Machine Learning,[]
B05232,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Data Analyst roles,"['UI/UX', 'Python']",['Problem Solving'],AI Professional Course,[]
B05233,AI Specialist,IBM,AI Specialist badge issued by IBM,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Data Analyst roles,"['Deep Learning', 'Data Analysis']",['Cloud Computing'],Intro to Machine Learning,"['B00875', 'B01913']"
